timestamp,test_id,nnodes,tasks_per_node,collective_type,mpi_lib,mpi_lib_version,gpu_awareness,gpu_lib,gpu_lib_version,output_level,MPI_Op,notes
2025_03_12___12_18_24,0,8,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_12___12_18_24,1,8,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_12___12_18_24,2,8,1,BCAST,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_12___12_18_24,3,8,1,REDUCE_SCATTER,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_13___15_38_05,0,4,1,ALLGATHER,OMPI,4.1.6,yes,CUDA,12.1,summarized,null,null
2025_03_13___15_47_02,0,4,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_19___20_05_06,0,32,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_19___20_04_47,0,128,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_19___21_30_29,0,128,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_19___21_30_29,1,128,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_19___21_30_29,2,128,1,BCAST,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_19___21_30_29,3,128,1,REDUCE_SCATTER,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_20___12_52_50,0,4,4,ALLGATHER,OMPI,4.1.6,yes,CUDA,12.1,summarized,null,null
2025_03_20___12_52_50,1,4,2,ALLGATHER,OMPI,4.1.6,yes,CUDA,12.1,summarized,null,null
2025_03_20___12_52_50,2,4,1,ALLGATHER,OMPI,4.1.6,yes,CUDA,12.1,summarized,null,null
2025_03_20___12_52_50,3,4,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_22___10_48_09,0,256,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_22___10_48_09,1,256,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_22___10_48_09,2,256,1,BCAST,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_22___10_48_09,3,256,1,REDUCE_SCATTER,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_28___16_48_20,0,2048,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_28___16_48_20,1,2048,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_28___17_14_41,0,2048,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,rail 4
2025_03_28___17_14_41,1,2048,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,rail 4
2025_03_28___17_42_08,0,1024,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_28___17_42_08,1,1024,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_03_28___18_19_43,0,512,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,null
2025_03_28___18_19_43,1,512,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,null
2025_04_01___18_15_01,0,128,1,ALLREDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,New big test with all collectives
2025_04_01___18_15_01,1,128,1,ALLGATHER,OMPI,4.1.6,no,null,null,summarized,null,New big test with all collectives
2025_04_01___18_15_01,2,128,1,BCAST,OMPI,4.1.6,no,null,null,summarized,null,New big test with all collectives
2025_04_01___18_15_01,3,128,1,GATHER,OMPI,4.1.6,no,null,null,summarized,null,New big test with all collectives
2025_04_01___18_15_01,4,128,1,REDUCE,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,New big test with all collectives
2025_04_01___18_15_01,5,128,1,REDUCE_SCATTER,OMPI,4.1.6,no,null,null,summarized,MPI_SUM,New big test with all collectives
